time,patch,S_visitor,S_resident_home,S_resident_away,I_visitor,I_resident_home,I_resident_away,P_visitor,P_resident_home,P_resident_away,incidence_resident,incidence_traveller
33,0,39,253,31,25,160,21,5,31,4,0,0
33,1,33,221,39,26,175,25,3,32,8,0,0
33,2,40,232,30,27,179,27,6,30,2,0,0
33,3,34,227,39,25,171,20,6,32,11,0,0
33,4,26,219,33,13,199,23,8,23,3,2,0
34,0,28,245,41,28,156,23,5,31,4,0,0
34,1,39,222,41,27,178,19,3,32,8,0,0
34,2,44,233,29,29,181,25,7,30,2,1,0
34,3,39,228,39,23,166,24,7,31,12,3,0
34,4,33,218,33,14,193,30,7,23,3,1,0
35,0,30,255,32,23,158,20,6,31,4,1,0
35,1,35,221,40,22,175,23,1,35,6,1,0
35,2,39,239,24,31,183,22,6,31,1,0,0
35,3,33,230,40,22,168,19,6,34,9,0,0
35,4,32,218,33,18,191,32,4,23,3,1,0
36,0,31,252,35,18,157,21,7,30,5,0,0
36,1,40,226,35,15,174,23,2,34,8,0,0
36,2,37,231,32,31,186,18,5,29,4,1,0
36,3,33,229,41,20,169,18,7,37,6,0,0
36,4,35,221,33,23,193,27,6,22,4,1,0
37,0,27,250,36,23,156,23,6,28,7,1,0
37,1,36,219,39,20,176,24,5,36,6,1,0
37,2,33,231,32,34,181,22,3,30,4,0,0
37,3,42,232,38,23,162,25,9,39,4,1,2
37,4,40,220,33,20,195,26,4,20,6,3,0
38,0,40,256,30,24,158,21,9,29,6,1,0
38,1,41,219,39,27,174,26,5,35,7,1,0
38,2,29,229,33,28,171,33,2,30,4,1,0
38,3,43,226,43,24,167,21,6,39,4,2,0
38,4,29,216,37,25,193,27,3,23,4,2,0
39,0,35,253,31,23,160,20,6,30,6,4,0
39,1,44,222,37,32,174,25,6,35,7,0,0
39,2,27,225,37,25,171,33,1,31,3,0,0
39,3,49,223,45,23,161,28,6,40,3,2,0
39,4,29,217,34,30,195,27,4,23,4,2,1
40,0,38,251,33,27,161,19,6,30,6,1,1
40,1,40,229,30,26,167,32,7,35,7,0,0
40,2,30,223,39,19,178,26,4,31,3,0,0
40,3,42,228,40,30,160,29,2,40,3,1,0
40,4,30,213,38,31,195,27,5,22,5,1,0
41,0,39,254,30,35,163,17,6,31,5,0,0
41,1,31,225,35,24,166,31,6,33,10,1,0
41,2,31,231,33,20,174,28,6,29,5,0,0
41,3,37,231,37,31,153,36,5,39,4,0,0
41,4,32,220,35,29,191,27,5,23,4,0,0
42,0,39,254,31,33,162,16,5,31,6,2,0
42,1,33,227,34,29,167,29,7,35,8,0,0
42,2,28,230,35,25,170,31,4,29,5,0,0
42,3,32,233,34,28,150,39,5,40,4,1,0
42,4,34,223,32,31,187,31,5,24,3,2,0
43,0,41,287,34,24,158,19,0,2,0,1,0
43,1,35,259,45,29,170,23,1,2,1,1,1
43,2,30,254,47,23,167,29,1,1,2,0,0
43,3,40,278,30,29,165,26,0,1,0,2,0
43,4,40,251,30,20,190,28,1,1,0,0,0
44,0,49,286,36,23,148,28,0,2,0,0,0
44,1,35,263,40,29,171,23,1,3,0,1,1
44,2,30,264,39,19,168,26,1,1,2,0,0
44,3,35,273,36,33,166,24,0,0,1,1,0
44,4,41,237,39,20,199,23,1,2,0,4,0
45,0,46,288,36,25,149,25,0,2,0,0,1
45,1,32,259,42,24,168,28,1,3,0,2,0
45,2,31,262,41,25,168,26,1,2,1,0,1
45,3,35,277,31,33,161,28,0,2,1,1,0
45,4,41,240,35,24,199,24,0,2,0,2,0
46,0,39,278,47,30,150,23,0,1,1,0,0
46,1,34,254,44,22,169,30,1,3,0,3,0
46,2,33,269,33,25,170,25,1,3,0,1,0
46,3,35,269,37,25,167,24,0,2,1,2,0
46,4,54,240,34,20,204,20,0,2,0,1,0
47,0,41,279,47,26,141,31,0,1,1,0,1
47,1,33,252,46,31,172,27,1,3,0,0,0
47,2,39,270,33,31,166,28,0,3,0,0,0
47,3,34,261,45,24,166,25,0,3,0,1,0
47,4,53,243,29,23,202,24,0,2,0,3,0
48,0,42,280,46,26,140,32,0,2,0,1,0
48,1,43,247,49,33,173,27,0,4,0,2,0
48,2,37,263,42,29,163,29,0,3,0,0,0
48,3,41,254,51,27,171,21,0,3,0,1,0
48,4,54,240,29,25,197,31,0,3,0,3,0
49,0,41,287,38,16,146,27,1,2,0,1,0
49,1,44,246,50,27,179,21,0,3,1,0,0
49,2,33,264,43,28,172,18,0,3,0,1,0
49,3,36,262,44,29,167,24,0,3,0,3,1
49,4,51,239,30,21,197,31,0,3,0,1,0
50,0,45,293,33,28,139,33,0,2,0,0,0
50,1,39,248,48,30,176,24,0,4,0,0,0
50,2,31,265,42,31,173,17,0,3,0,1,0
50,3,36,265,43,32,161,28,0,3,0,0,0
50,4,50,233,35,20,190,39,0,3,0,1,0
51,0,47,288,37,29,145,28,0,2,0,2,0
51,1,42,251,46,28,177,22,0,4,0,0,0
51,2,37,265,44,28,166,22,0,3,0,0,0
51,3,35,254,52,34,161,30,0,3,0,3,0
51,4,52,232,34,20,194,37,0,3,0,2,0
52,0,45,290,35,24,145,28,0,2,0,1,0
52,1,42,249,48,23,175,24,0,4,0,1,0
52,2,36,255,51,34,172,19,0,3,0,3,0
52,3,42,255,51,30,168,23,0,3,0,1,0
52,4,55,233,35,20,192,37,0,3,0,0,0
53,0,43,286,37,25,153,22,0,2,0,2,1
53,1,38,254,43,21,176,23,0,4,0,0,0
53,2,38,258,51,33,168,20,0,3,0,0,0
53,3,41,258,45,30,163,31,0,3,0,2,0
53,4,47,236,31,17,200,30,0,3,0,1,0
54,0,46,276,47,26,154,21,1,2,0,1,0
54,1,51,258,39,22,176,23,0,4,0,0,0
54,2,33,265,45,37,162,25,0,3,0,0,0
54,3,43,257,46,22,165,29,0,2,1,1,0
54,4,41,232,37,22,197,31,0,3,0,1,0
55,0,45,276,47,26,155,20,1,2,0,1,0
55,1,49,249,48,18,181,18,0,4,0,1,0
55,2,37,269,41,32,161,26,0,3,0,1,0
55,3,50,253,50,20,165,29,0,2,1,0,0
55,4,40,232,35,23,204,26,0,3,0,3,1
56,0,42,276,47,27,154,21,1,2,0,1,0
56,1,51,257,41,27,178,20,0,4,0,0,0
56,2,40,271,38,24,162,26,0,3,0,1,0
56,3,47,255,50,19,160,32,0,2,1,1,0
56,4,35,227,39,29,204,27,0,3,0,1,0
57,0,35,282,45,32,144,27,0,2,0,0,0
57,1,46,259,41,24,170,26,0,4,0,0,0
57,2,43,275,31,24,162,29,0,3,0,3,0
57,3,43,257,52,15,159,27,1,5,0,0,0
57,4,40,227,38,33,213,19,0,2,1,2,0
58,0,40,283,44,35,143,28,1,2,0,1,0
58,1,46,257,44,29,167,28,0,3,1,1,0
58,2,41,271,34,27,162,30,0,2,1,1,0
58,3,31,254,51,18,156,34,1,5,0,4,0
58,4,50,228,35,34,211,23,0,3,0,3,0
59,0,35,283,44,28,145,25,0,3,0,1,1
59,1,37,264,36,28,168,28,0,3,1,1,1
59,2,39,277,27,20,162,31,1,3,0,1,0
59,3,26,253,53,26,161,27,1,5,1,1,1
59,4,51,232,28,34,212,25,0,3,0,2,0
60,0,32,294,34,33,143,26,0,3,0,0,0
60,1,31,266,34,27,173,23,0,3,1,0,1
60,2,39,281,22,20,157,36,1,4,0,1,0
60,3,25,254,47,23,166,27,1,5,1,4,0
60,4,39,230,29,34,213,25,0,3,0,3,0
61,0,38,287,41,36,139,30,1,3,0,0,0
61,1,36,264,35,24,171,26,0,3,1,0,0
61,2,35,267,36,20,154,39,1,4,0,0,0
61,3,39,255,44,32,172,23,0,5,1,2,2
61,4,37,229,29,27,218,21,0,3,0,3,0
62,0,35,281,42,35,150,24,1,3,0,4,0
62,1,37,265,35,23,170,26,0,3,1,0,0
62,2,44,267,37,22,160,32,1,4,0,1,0
62,3,42,258,42,28,168,26,0,5,1,2,1
62,4,35,220,37,23,217,23,0,3,0,1,0
63,0,35,288,36,29,148,25,1,3,0,1,0
63,1,37,269,32,25,168,27,0,3,1,0,0
63,2,39,268,37,22,164,27,1,4,0,0,1
63,3,39,258,42,27,173,21,0,5,1,1,0
63,4,36,219,39,21,215,24,0,3,0,1,0
64,0,39,282,42,26,144,29,0,3,0,0,0
64,1,35,267,35,32,167,27,0,4,0,0,1
64,2,49,268,36,24,166,26,1,4,0,2,0
64,3,43,251,49,34,170,24,0,5,1,1,0
64,4,33,221,37,20,209,30,0,3,0,0,0
65,0,36,281,42,25,148,26,0,3,0,1,0
65,1,34,260,41,32,162,33,0,4,0,1,0
65,2,45,268,36,23,170,22,1,4,0,1,0
65,3,45,263,41,33,167,23,0,5,1,0,0
65,4,38,219,38,22,209,31,0,3,0,2,0
66,0,40,286,36,27,150,25,0,3,0,1,0
66,1,39,266,36,29,158,36,0,4,0,1,0
66,2,41,269,39,21,171,17,1,3,1,2,0
66,3,39,261,42,32,164,27,0,5,1,1,0
66,4,34,216,40,23,213,27,1,4,0,2,0
67,0,36,273,50,25,150,24,0,3,0,1,0
67,1,41,264,40,28,156,37,0,3,0,0,0
67,2,48,273,37,25,168,18,1,3,1,0,1
67,3,42,266,38,36,160,29,0,6,1,0,0
67,4,39,212,41,23,214,29,1,4,0,2,0
68,0,35,279,44,25,152,22,0,3,0,0,0
68,1,36,267,37,28,166,28,1,2,0,1,1
68,2,42,274,36,19,167,20,1,3,0,1,1
68,3,39,268,34,28,161,30,0,6,1,1,0
68,4,38,215,39,26,216,26,0,3,1,2,0
69,0,41,281,43,28,150,22,0,4,0,0,0
69,1,41,263,40,23,169,26,1,1,1,0,0
69,2,42,270,41,23,162,25,0,2,0,1,0
69,3,35,270,33,33,167,23,1,7,0,1,1
69,4,32,221,34,20,210,31,0,3,1,1,0
70,0,44,278,46,26,148,24,0,4,0,2,0
70,1,43,263,41,26,167,27,1,2,0,0,0
70,2,44,271,42,24,166,18,1,2,1,0,0
70,3,43,268,37,34,163,25,0,7,0,0,0
70,4,32,216,40,13,212,29,1,1,2,1,0
71,0,43,281,44,25,144,28,0,3,0,1,0
71,1,45,267,37,25,166,28,0,2,0,0,0
71,2,38,270,41,20,163,23,1,2,1,2,1
71,3,41,266,39,34,169,19,0,7,0,0,0
71,4,30,218,36,18,219,24,1,2,1,2,1
72,0,39,280,45,23,147,25,0,3,0,0,0
72,1,48,265,38,22,170,25,0,2,0,1,0
72,2,35,273,36,25,165,23,0,2,1,2,0
72,3,31,270,35,25,172,15,0,8,0,1,0
72,4,31,222,30,18,220,25,1,3,0,4,0
73,0,33,281,46,26,149,21,0,3,0,0,1
73,1,46,274,26,24,177,22,0,1,0,4,0
73,2,34,280,29,26,162,26,0,2,1,1,0
73,3,25,262,44,28,168,18,0,8,0,0,0
73,4,32,226,25,11,218,28,1,3,0,1,0
74,0,38,275,53,26,154,16,0,2,0,1,0
74,1,47,271,29,29,176,23,0,1,0,1,0
74,2,29,272,36,25,164,25,0,2,1,2,0
74,3,33,269,34,23,170,20,0,7,0,4,0
74,4,31,224,26,8,220,27,1,3,0,3,0
75,0,46,284,46,21,148,20,0,2,0,0,0
75,1,43,263,36,26,177,23,0,1,0,0,0
75,2,34,263,44,26,166,25,0,2,0,1,1
75,3,38,264,38,29,167,24,0,7,0,2,0
75,4,34,217,31,18,221,28,0,3,0,2,1
76,0,41,285,46,16,150,17,0,2,0,0,0
76,1,57,269,30,25,174,26,0,1,0,0,0
76,2,32,263,44,28,169,22,0,2,0,0,1
76,3,35,256,47,27,167,23,0,7,0,1,0
76,4,38,213,36,16,224,24,0,3,0,0,0
77,0,35,282,48,22,147,21,0,2,0,1,0
77,1,56,262,36,28,171,30,0,1,0,2,1
77,2,39,267,43,29,167,21,0,2,0,0,0
77,3,36,258,46,27,166,25,0,5,0,1,0
77,4,43,211,36,19,222,28,0,3,0,1,1
78,0,47,282,46,25,145,24,0,3,0,2,0
78,1,48,254,43,25,167,35,0,1,0,1,0
78,2,39,265,45,37,163,25,0,2,0,0,0
78,3,41,263,41,27,167,24,0,5,0,0,0
78,4,47,198,47,24,222,30,0,3,0,2,0
79,0,42,280,49,22,144,24,0,3,0,0,0
79,1,49,254,42,22,169,33,0,2,0,1,0
79,2,43,270,41,41,163,24,0,2,0,0,0
79,3,42,266,35,22,170,24,0,5,0,4,0
79,4,40,197,49,25,224,27,0,3,0,0,0
80,0,46,289,43,23,144,21,0,3,0,0,0
80,1,35,245,53,23,172,29,0,1,0,0,0
80,2,45,267,44,37,158,28,0,3,0,1,1
80,3,42,268,32,22,168,27,0,5,0,1,0
80,4,47,204,43,28,223,28,0,2,0,1,0
81,0,40,292,39,25,144,22,0,3,0,1,0
81,1,36,250,48,25,168,33,0,1,0,1,0
81,2,43,268,44,34,162,23,0,3,0,0,0
81,3,36,265,34,19,169,27,0,5,0,1,0
81,4,48,208,38,31,223,29,0,2,0,2,0
82,0,39,290,42,24,146,19,0,3,0,0,0
82,1,43,258,42,27,165,34,0,1,0,0,1
82,2,50,268,42,30,161,26,0,3,0,1,0
82,3,34,255,45,16,174,21,0,5,0,1,1
82,4,36,215,31,29,226,26,0,2,0,3,0
83,0,39,285,46,25,143,23,0,3,0,1,0
83,1,47,262,38,28,167,32,0,1,0,1,0
83,2,42,268,40,33,171,17,1,4,0,3,0
83,3,39,256,44,21,172,23,0,5,0,0,0
83,4,36,210,35,22,218,34,0,2,1,1,0
84,0,38,288,43,28,147,19,0,3,0,0,0
84,1,41,257,42,25,166,34,0,1,0,1,0
84,2,44,275,36,33,165,20,0,4,0,0,0
84,3,37,258,44,23,166,27,0,5,0,1,0
84,4,37,213,32,26,217,35,0,3,0,2,0
85,0,42,294,38,28,149,16,1,3,0,1,0
85,1,39,258,40,28,171,30,0,1,0,1,0
85,2,40,271,40,30,166,19,0,3,1,0,0
85,3,41,258,42,20,166,28,0,5,1,3,0
85,4,33,210,35,26,212,39,1,4,0,1,0
86,0,41,303,28,23,151,15,0,3,0,1,0
86,1,39,251,46,30,182,20,0,1,0,1,0
86,2,38,274,36,19,166,19,0,5,0,1,0
86,3,37,256,45,19,165,27,1,6,1,1,0
86,4,33,210,33,20,222,30,1,4,1,3,0
87,0,38,300,31,22,150,16,0,3,0,0,0
87,1,36,251,45,29,182,21,0,1,0,1,0
87,2,36,283,29,20,160,23,0,5,0,0,1
87,3,34,260,41,25,167,25,1,5,2,0,0
87,4,33,209,31,21,223,32,2,4,1,3,0
88,0,45,295,36,26,148,18,1,2,1,1,0
88,1,38,257,39,37,183,20,0,1,0,1,0
88,2,30,270,41,23,159,25,0,4,1,1,0
88,3,33,263,38,17,160,32,2,5,2,0,0
88,4,38,211,30,20,226,28,2,4,1,0,0
89,0,36,294,37,17,145,21,1,2,1,0,0
89,1,36,256,41,39,178,24,0,1,0,0,0
89,2,34,271,40,24,164,20,0,3,2,0,1
89,3,36,260,44,24,162,29,4,4,1,1,0
89,4,40,217,20,18,229,28,1,4,2,4,0
90,0,32,299,35,22,144,19,1,2,1,0,0
90,1,35,263,33,34,180,23,0,1,0,0,0
90,2,31,269,43,22,157,26,0,3,2,0,1
90,3,43,267,40,27,161,27,4,4,1,1,0
90,4,35,212,25,20,227,30,1,4,2,0,0
91,0,32,297,39,21,145,17,2,1,1,0,0
91,1,30,265,32,33,176,26,0,1,0,0,0
91,2,35,271,42,22,146,35,1,6,0,1,0
91,3,37,273,35,31,162,25,3,3,2,1,1
91,4,36,213,22,28,227,32,1,2,4,1,0
92,0,31,300,37,19,149,12,0,1,1,0,0
92,1,31,263,35,32,175,26,0,1,0,0,0
92,2,35,277,37,21,147,34,2,5,0,0,0
92,3,38,270,38,30,158,29,3,4,1,0,0
92,4,39,210,27,25,231,26,1,2,4,1,0
93,0,39,302,36,24,145,15,0,1,1,1,0
93,1,39,261,36,30,175,27,0,0,1,1,0
93,2,30,268,45,19,151,31,2,5,0,1,0
93,3,42,267,41,29,162,25,4,4,1,1,0
93,4,37,208,29,22,230,26,1,3,4,0,0
94,0,39,300,37,25,143,17,0,1,2,1,0
94,1,39,261,37,30,180,21,0,1,0,0,0
94,2,32,275,39,16,147,34,1,5,0,0,0
94,3,36,269,39,33,162,25,2,4,1,1,0
94,4,40,202,34,20,230,27,1,6,1,2,0
95,0,38,300,39,24,139,19,0,1,2,0,0
95,1,44,261,37,28,181,20,0,1,0,0,0
95,2,35,272,40,19,161,22,1,5,0,2,0
95,3,34,269,38,25,161,26,2,5,1,2,1
95,4,36,205,33,18,228,27,1,6,1,0,0
96,0,38,291,48,21,139,19,1,1,2,0,0
96,1,47,263,35,25,175,26,0,1,0,0,0
96,2,40,261,50,24,160,24,1,5,0,1,0
96,3,39,267,38,25,160,28,1,6,1,2,0
96,4,48,197,41,29,228,27,1,6,1,2,0
97,0,39,292,47,23,136,21,1,2,2,0,0
97,1,42,264,35,27,170,30,0,1,0,0,0
97,2,41,260,49,28,162,23,1,6,0,1,0
97,3,33,267,38,24,166,22,1,7,0,1,1
97,4,51,200,37,20,230,26,0,6,1,2,0
98,0,46,291,49,29,133,23,1,2,2,0,0
98,1,48,265,35,28,169,30,0,1,0,0,0
98,2,37,259,51,26,158,26,1,6,0,0,0
98,3,40,264,39,25,165,25,1,6,1,2,0
98,4,42,200,39,19,230,23,0,8,0,1,0
99,0,47,289,51,26,131,25,1,2,2,0,0
99,1,47,262,38,31,159,40,0,1,0,1,0
99,2,39,260,50,31,162,21,1,7,0,0,0
99,3,33,267,35,30,168,24,1,5,1,2,0
99,4,44,205,36,18,225,26,0,8,0,2,0
100,0,51,284,56,19,134,22,1,3,1,0,0
100,1,43,250,48,27,170,31,0,0,1,2,0
100,2,41,258,51,27,163,21,2,7,0,2,0
100,3,33,266,36,33,170,22,0,6,0,2,0
100,4,52,213,29,23,216,33,0,8,1,1,0
101,0,49,285,58,18,132,22,1,2,1,0,0
101,1,47,246,52,38,174,27,0,1,0,0,0
101,2,38,258,52,21,154,29,2,7,0,0,0
101,3,37,264,40,34,164,26,0,5,1,1,0
101,4,63,212,32,26,214,33,0,8,1,0,0
102,0,48,286,58,11,134,19,2,2,1,1,0
102,1,46,250,50,28,179,20,0,1,0,0,0
102,2,42,257,51,27,162,24,1,6,0,2,0
102,3,32,257,44,29,169,23,0,6,1,2,0
102,4,69,211,34,26,211,35,0,8,1,1,1
103,0,49,291,53,17,134,19,1,3,0,0,1
103,1,41,252,45,31,183,19,0,1,0,2,0
103,2,42,258,52,28,162,22,0,6,0,0,0
103,3,34,261,39,25,161,32,2,6,1,1,1
103,4,58,205,35,23,219,32,0,7,2,5,1
104,0,49,303,41,21,138,15,1,3,0,0,0
104,1,37,252,45,34,181,21,0,1,0,1,0
104,2,41,263,48,22,165,18,0,5,1,0,1
104,3,32,264,35,19,165,29,2,7,0,2,0
104,4,47,199,37,22,220,35,0,7,2,3,0
105,0,46,303,41,25,135,18,2,3,0,0,1
105,1,37,256,41,35,175,27,0,1,0,0,0
105,2,32,266,44,27,157,27,1,5,1,1,0
105,3,30,265,34,22,169,25,0,5,2,0,0
105,4,47,203,32,23,221,35,0,9,0,2,0
106,0,42,305,39,24,137,16,3,3,0,0,0
106,1,48,256,42,31,175,26,0,1,0,2,0
