time,state,patch1,patch2,patch3,patch4,patch5
15,Y,28.2895,36.8717,45.8183,52.3021,64.7352
15,Z,8.31508,9.34454,10.1491,10.929,11.5862
16,M,142.815,225.842,293.021,362.161,443.001
16,Y,27.2019,36.2555,45.5801,52.3135,65.201
16,Z,8.9892,10.2654,11.2652,12.188,13.1666
17,M,133.934,228.458,288.919,361.045,454.501
17,Y,26.1678,35.6704,45.3361,52.1535,65.621
17,Z,9.47561,11.0826,12.149,13.2772,14.5244
18,M,134.04,223.612,290.627,350.14,449.551
18,Y,25.2527,35.1205,45.0302,51.9337,65.8322
18,Z,9.7947,11.6584,12.874,14.2031,15.6836
19,M,127.836,216.551,286.764,358.326,457.696
19,Y,24.3471,34.5107,44.6808,51.8451,66.0503
19,Z,10.0003,12.0613,13.3637,14.9826,16.652
20,M,126.753,211.996,295.888,361.194,449.726
20,Y,23.5312,33.8958,44.4753,51.7103,66.1549
20,Z,10.0746,12.2666,13.7429,15.6123,17.6944
21,M,125.777,207.896,291.499,363.774,453.353
21,Y,22.7582,33.3281,44.2034,51.5612,66.2686
21,Z,10.0816,12.3579,14.0881,16.1537,18.5645
22,M,124,206.006,287.549,364.297,453.018
22,Y,22.0248,32.7658,43.825,51.6006,66.3018
22,Z,10.0232,12.4208,14.4018,16.5412,19.2638
23,M,122.4,204.306,284.894,352.167,463.516
23,Y,21.3538,32.2426,43.4385,51.4032,66.312
23,Z,9.78984,12.1577,14.48,16.5631,19.564
24,M,114.66,203.675,285.205,355.651,468.465
24,Y,20.6405,31.8797,43.0456,51.2995,66.2028
24,Z,9.4911,11.912,14.5239,16.5533,19.8387
25,M,113.094,193.208,280.984,360.585,464.818
25,Y,19.982,31.2438,42.713,51.2883,66.1992
25,Z,9.19962,11.7271,14.4949,16.47,20.0801
26,M,107.184,191.887,281.686,364.127,466.036
26,Y,19.3394,30.7779,42.3667,51.1125,66.2502
26,Z,8.87753,11.5707,14.3783,16.413,20.3146
27,M,104.566,196.098,286.817,361.914,466.233
27,Y,18.7027,30.4506,42.147,50.8925,66.3426
27,Z,8.53626,11.3773,14.3035,16.4165,20.4608
28,M,105.809,198.088,281.536,362.623,471.809
28,Y,18.1077,30.1898,41.7853,50.833,66.6432
28,Z,8.21175,11.1938,14.2269,16.3663,20.5926
29,M,102.428,190.88,275.882,367.761,463.328
29,Y,17.5336,29.7866,41.5211,50.9822,66.7241
29,Z,7.92458,11.0212,14.131,16.2974,20.6589
30,M,102.086,197.892,271.694,359.784,470.096
30,Y,17.0276,29.5187,41.2547,50.933,66.8724
30,Z,7.64039,10.8298,14.0213,16.2695,20.7273
31,M,99.977,193.402,272.424,367.906,468.986
31,Y,16.5414,29.3131,40.9855,51.0676,66.9552
31,Z,7.38433,10.6368,13.9568,16.2272,20.7601
32,M,96.2793,188.462,276.682,359.915,465.287
32,Y,16.0565,28.997,41.0299,50.8572,67.2945
32,Z,7.14178,10.4587,13.8715,16.1805,20.7958
33,M,97.4513,190.316,275.114,347.324,458.359
33,Y,15.6365,28.8157,40.9856,50.5526,67.4603
33,Z,6.91163,10.2823,13.7528,16.1928,20.8062
34,M,98.5062,191.984,263.802,344.991,457.523
34,Y,15.306,28.6928,40.5702,50.3001,67.6958
34,Z,6.70104,10.1181,13.6315,16.1309,20.8094
35,M,101.256,192.586,268.022,350.992,462.171
35,Y,15.0977,28.5871,40.2708,50.0073,67.8193
35,Z,6.4772,10.0042,13.5082,16.0983,20.7751
36,M,101.93,186.827,261.02,346.493,469.054
36,Y,14.8754,28.3568,39.9264,49.7123,68.1437
36,Z,6.27057,9.80464,13.4038,16.0948,20.774
37,M,102.537,187.945,266.418,355.044,470.748
37,Y,14.6643,28.0533,39.8367,49.5395,68.4925
37,Z,6.06892,9.65843,13.2951,16.0396,20.79
38,M,101.283,191.65,263.176,353.739,458.773
38,Y,14.5011,27.9327,39.7191,49.1542,68.5731
38,Z,5.8691,9.55572,13.2262,15.9706,20.819
39,M,100.155,186.885,267.459,358.865,452.496
39,Y,14.2953,27.7676,39.5661,49.0582,68.7714
39,Z,5.6824,9.47388,13.1127,15.9519,20.9133
40,M,99.1395,191.597,273.113,349.979,446.846
40,Y,14.1269,27.7003,39.5372,48.6923,68.9382
40,Z,5.50223,9.34737,13.0298,15.9988,20.9387
41,M,99.1255,194.037,274.601,351.881,439.962
41,Y,13.9967,27.553,39.5155,48.5452,69.0183
41,Z,5.34344,9.26328,12.9462,15.9833,20.9853
42,M,98.213,193.533,273.241,353.593,440.066
42,Y,13.8974,27.4748,39.3672,48.3467,68.8516
42,Z,5.19085,9.19875,12.8617,16.0256,21.0112
43,M,94.6917,189.48,281.017,360.534,428.459
43,Y,13.7463,27.3535,39.4213,48.1952,68.3866
43,Z,5.03869,9.09956,12.8756,15.9595,21.1177
44,M,100.523,185.832,286.215,367.68,424.313
44,Y,13.6407,27.2377,39.5326,48.3427,67.6817
44,Z,4.90689,9.04267,12.8617,15.8639,21.1697
45,M,95.8703,182.549,283.694,374.112,434.982
45,Y,13.4163,27.0639,39.4698,48.7638,67.5492
45,Z,4.80318,9.00409,12.7314,15.7847,21.2437
46,M,95.2832,181.394,284.125,378.101,431.084
46,Y,13.2244,26.8649,39.4966,49.0566,67.4035
46,Z,4.73782,8.97092,12.6374,15.6928,21.2824
47,M,94.7549,176.754,286.312,387.991,421.275
47,Y,13.1148,26.622,39.4999,49.5198,66.9544
47,Z,4.66806,8.89867,12.5293,15.6002,21.3842
48,M,94.2794,174.379,288.281,388.792,432.248
48,Y,12.9464,26.4734,39.5114,49.9957,66.7403
48,Z,4.60181,8.80341,12.5012,15.546,21.4937
49,M,99.2515,173.141,278.353,375.113,438.523
49,Y,12.8537,26.3175,39.3743,50.3332,66.6226
49,Z,4.5506,8.76558,12.4643,15.4251,21.519
50,M,99.2263,173.827,280.217,365.501,439.671
50,Y,12.7349,26.196,39.4023,50.4141,66.5209
50,Z,4.486,8.71375,12.4163,15.395,21.5812
51,M,101.004,173.544,279.196,373.951,447.904
51,Y,12.6559,26.0939,39.4655,50.5404,66.5225
51,Z,4.43317,8.69266,12.4072,15.2801,21.6335
52,M,96.3033,166.09,274.676,373.456,454.413
52,Y,12.5613,25.843,39.2846,50.8049,66.6956
52,Z,4.39233,8.64641,12.4004,15.234,21.6587
53,M,100.173,162.081,264.309,375.711,454.872
53,Y,12.5073,25.5168,39.1765,51.038,66.7659
53,Z,4.36114,8.62189,12.3539,15.1717,21.6063
54,M,97.3557,166.573,264.878,376.839,454.385
54,Y,12.476,25.2892,38.9972,51.1595,66.9785
54,Z,4.31372,8.58381,12.3708,15.1242,21.4604
55,M,95.7201,168.816,270.79,379.656,453.946
55,Y,12.4481,25.0523,38.8966,51.2104,67.3344
55,Z,4.2806,8.54747,12.4057,15.1704,21.2392
56,M,95.1481,167.234,265.311,366.89,443.652
56,Y,12.4218,24.8746,38.593,50.9947,67.6161
56,Z,4.21016,8.49293,12.386,15.3026,21.1976
57,M,92.8333,172.111,262.18,354.501,437.986
57,Y,12.372,24.7915,38.1604,50.5272,68.0007
57,Z,4.14995,8.43049,12.3945,15.3945,21.1519
58,M,91.65,173.8,260.262,353.251,436.488
58,Y,12.2942,24.6787,37.701,49.993,68.4608
58,Z,4.11556,8.35427,12.3955,15.5398,21.011
59,M,91.485,175.32,264.836,347.626,441.439
59,Y,12.2151,24.6319,37.4448,49.58,68.7797
59,Z,4.06272,8.30762,12.3991,15.6892,20.9438
60,M,90.4365,175.788,264.452,358.763,445.895
60,Y,12.1203,24.6075,37.0885,49.6626,69.093
60,Z,4.03361,8.25871,12.3561,15.7951,20.9069
61,M,91.2928,178.009,265.007,357.987,442.706
61,Y,12.0429,24.6717,36.6872,49.7556,69.5181
61,Z,3.99634,8.22059,12.3649,15.8205,20.875
62,M,89.3635,180.008,262.806,357.288,457.835
62,Y,11.9429,24.7071,36.3851,49.9131,70.1967
62,Z,3.97156,8.18854,12.3847,15.8601,20.8755
63,M,91.2272,181.807,261.726,353.059,448.052
63,Y,11.9426,24.741,36.1357,49.804,70.6891
63,Z,3.94187,8.10982,12.3279,15.9431,20.9298
64,M,90.2045,187.026,259.853,353.753,448.246
64,Y,11.8785,24.8323,35.9609,49.8084,71.062
64,Z,3.92491,8.00743,12.294,16.0163,20.9519
65,M,89.284,180.024,257.268,345.378,442.122
65,Y,11.786,24.8655,35.7449,49.7642,71.1724
65,Z,3.91509,7.93601,12.2377,16.0544,21.0186
66,M,92.0556,176.421,247.741,345.94,433.91
66,Y,11.7649,24.8389,35.4679,49.5428,71.1024
66,Z,3.90634,7.86167,12.2062,16.0704,21.1303
67,M,90.9501,170.479,238.267,342.846,440.019
67,Y,11.7269,24.6167,35.0921,49.3142,71.312
67,Z,3.89809,7.80591,12.1109,16.0027,21.2186
68,M,91.7551,175.931,247.74,336.462,441.017
68,Y,11.736,24.4842,34.8447,48.9289,71.5177
68,Z,3.88245,7.77985,11.9751,15.856,21.3393
69,M,91.5795,175.438,251.766,341.515,456.315
69,Y,11.738,24.4464,34.6415,48.572,72.0797
69,Z,3.85805,7.74443,11.831,15.6883,21.4837
70,M,90.5216,172.294,254.49,352.364,445.784
70,Y,11.7079,24.3485,34.5304,48.5882,72.1726
70,Z,3.83322,7.72974,11.7506,15.5587,21.5838
71,M,90.4694,165.865,263.241,357.628,436.305
71,Y,11.6637,24.155,34.5941,48.5924,72.0794
71,Z,3.80348,7.72211,11.6388,15.5847,21.6821
72,M,89.5225,165.478,261.217,359.665,427.775
72,Y,11.5878,23.9413,34.5866,48.7572,72.0094
72,Z,3.77919,7.74226,11.5128,15.6138,21.8155
73,M,90.4702,164.231,253.095,352.498,438.097
73,Y,11.5491,23.7355,34.544,48.7477,72.0774
73,Z,3.7478,7.75335,11.418,15.6633,22.0285
74,M,89.5232,170.308,251.185,354.148,441.988
74,Y,11.5341,23.6848,34.4146,48.8891,71.993
74,Z,3.74772,7.76398,11.3398,15.629,22.183
75,M,85.0709,168.577,253.067,347.534,447.289
75,Y,11.4807,23.6496,34.4285,48.7264,72.0462
75,Z,3.72759,7.79264,11.2849,15.6304,22.3
76,M,87.3638,179.619,252.96,351.48,459.26
76,Y,11.385,23.8371,34.5011,48.6893,72.5856
76,Z,3.69857,7.80304,11.2171,15.6165,22.3347
77,M,84.9274,177.857,247.464,353.232,463.734
77,Y,11.2628,23.8498,34.5462,48.7615,73.1661
77,Z,3.69196,7.79471,11.1302,15.5471,22.3127
78,M,82.7347,175.371,253.318,350.309,456.961
78,Y,11.1548,23.8594,34.5916,48.7536,73.515
78,Z,3.68003,7.72499,11.0123,15.4753,22.3785
79,M,81.6612,183.034,257.686,353.078,461.664
79,Y,11.0216,24.0115,34.7591,48.708,74.14
79,Z,3.68288,7.68341,10.9346,15.3544,22.443
80,M,77.0951,178.231,263.417,358.27,458.698
80,Y,10.8393,24.0529,34.9786,48.6789,74.8095
80,Z,3.68352,7.67153,10.8709,15.2424,22.6194
81,M,79.2856,189.208,265.876,366.543,452.428
81,Y,10.6866,24.4277,35.1104,48.7287,75.0959
81,Z,3.67407,7.64081,10.836,15.2475,22.6485
82,M,80.357,190.987,260.888,367.689,459.385
82,Y,10.5786,24.737,35.1682,48.847,75.4582
82,Z,3.66019,7.58011,10.856,15.2488,22.6193
83,M,83.1213,188.988,260.899,362.42,455.747
83,Y,10.5301,24.8877,35.1149,49.0254,75.797
83,Z,3.63638,7.51303,10.8536,15.3005,22.5973
84,M,82.9092,183.589,258.209,357.678,451.572
84,Y,10.4865,24.9197,35.2108,49.0943,75.853
84,Z,3.62424,7.44847,10.8403,15.2975,22.6187
85,M,82.7183,175.131,264.788,360.61,458.615
85,Y,10.4683,24.8385,35.2775,49.138,76.0128
85,Z,3.61952,7.43253,10.7997,15.3419,22.5922
86,M,81.6464,182.817,261.71,349.749,458.653
86,Y,10.423,24.9567,35.329,48.9212,76.1514
86,Z,3.60276,7.42148,10.804,15.2909,22.6089
87,M,80.6818,183.436,259.839,349.874,448.788
87,Y,10.3451,25.2088,35.1997,48.738,76.142
87,Z,3.57273,7.48032,10.8268,15.2792,22.7781
88,M,82.5136,190.292,266.255,357.187,439.909
88,Y,10.3046,25.5582,35.0727,48.8163,75.9872
88,Z,3.5344,7.48432,10.841,15.3019,22.9603
89,M,84.1623,182.963,272.029,348.468,433.718
89,Y,10.2949,25.7645,35.2124,48.4827,75.6535
89,Z,3.50049,7.48734,10.8552,15.2994,23.0698
90,M,82.946,185.367,272.726,360.421,434.447
90,Y,10.242,25.9828,35.3913,48.5045,75.2883
90,Z,3.4587,7.53505,10.9078,15.2851,23.2659
91,M,81.8514,186.63,271.554,364.879,431.502
91,Y,10.1944,26.1425,35.4574,48.4877,75.0514
91,Z,3.40147,7.54807,10.9766,15.2759,23.476
92,M,79.9663,185.967,266.898,358.091,425.252
92,Y,10.1307,26.2509,35.2356,48.4678,74.8327
92,Z,3.35355,7.66567,11.018,15.2916,23.5659
93,M,80.9697,183.57,269.909,354.682,433.127
93,Y,10.0954,26.2969,35.04,48.3296,74.8147
93,Z,3.31966,7.76274,11.0361,15.3287,23.6796
94,M,76.4727,182.313,264.518,357.014,435.714
94,Y,9.98844,26.2755,34.913,48.2707,74.8376
94,Z,3.30447,7.81003,11.0194,15.3847,23.7859
95,M,79.6254,182.982,263.266,354.613,436.242
95,Y,9.93567,26.2999,34.6371,48.3003,74.8388
95,Z,3.29077,7.82008,11.0495,15.4063,23.8035
96,M,84.2629,182.684,260.339,345.251,434.018
96,Y,9.9326,26.2834,34.562,48.0535,74.7498
96,Z,3.28508,7.79457,11.0704,15.42,23.8536
97,M,85.7366,186.015,265.805,346.726,429.316
97,Y,9.95287,26.2287,34.6679,47.8141,74.6782
97,Z,3.27083,7.83168,11.0866,15.352,23.8971
98,M,87.9629,187.214,272.525,348.054,429.585
98,Y,9.98954,26.1958,34.93,47.7458,74.4471
98,Z,3.24639,7.91079,11.046,15.2945,23.8942
99,M,83.6666,186.492,266.872,349.248,438.826
99,Y,9.96659,26.1199,35.0396,47.6754,74.5168
99,Z,3.23369,8.02043,11.0062,15.3191,23.8456
100,M,80.7,184.043,267.185,350.323,445.344
100,Y,9.88947,25.9786,35.2196,47.7991,74.5107
100,Z,3.23065,8.08517,11.05,15.2144,23.7409
101,M,77.13,177.339,268.367,353.091,453.909
101,Y,9.75984,25.8875,35.3546,48.0374,74.3732
101,Z,3.21405,8.15367,11.1062,15.2212,23.6263
102,M,78.417,179.405,265.83,342.982,443.618
102,Y,9.65249,25.9477,35.2744,48.0028,73.9365
102,Z,3.19912,8.20379,11.1269,15.2159,23.5519
103,M,83.1753,177.664,253.647,341.084,438.857
103,Y,9.59289,25.9197,35.1784,48.0478,73.3498
103,Z,3.17911,8.23782,11.0573,15.2097,23.4833
104,M,82.9578,178.798,249.882,351.975,437.271
104,Y,9.55184,25.9802,35.046,47.999,73.1216
104,Z,3.16803,8.25226,10.9959,15.1663,23.4776
105,M,83.662,178.018,251.894,371.678,439.444
105,Y,9.53527,26.0485,34.906,48.2049,73.2074
105,Z,3.13448,8.24552,10.9561,15.1479,23.4848
106,M,85.1958,174.616,259.105,360.61,434.199
106,Y,9.54761,25.9947,34.8924,48.3822,73.1226
106,Z,3.11792,8.25317,10.8695,15.1571,23.4852
107,M,86.5762,170.655,264.694,360.549,439.379
107,Y,9.58213,25.7995,35.058,48.5281,73.2077
107,Z,3.11695,8.24801,10.8459,15.0797,23.4573
108,M,89.6186,167.089,271.525,364.094,439.542
108,Y,9.67546,25.4333,35.2964,48.892,73.2747
108,Z,3.12332,8.23084,10.8792,15.0046,23.4348
109,M,89.6567,165.68,264.172,356.485,446.887
109,Y,9.76146,25.1459,35.3154,49.1482,73.3744
109,Z,3.13482,8.22052,10.9614,14.9831,23.3623
110,M,93.2911,164.412,271.055,355.936,442.699
110,Y,9.88373,24.9647,35.4873,49.2151,73.2049
110,Z,3.12762,8.1967,10.9958,14.961,23.3842
111,M,92.9619,166.871,273.65,354.543,441.629
111,Y,9.98196,24.7847,35.6992,49.2411,73.119
111,Z,3.10342,8.15235,11.0523,14.9999,23.3823
112,M,91.7658,170.884,266.085,353.288,437.966
112,Y,10.0307,24.6437,35.7109,49.1892,73.3742
112,Z,3.06274,8.12379,11.0946,15.0746,23.3391
113,M,92.4892,177.196,265.576,365.66,446.369
113,Y,10.0513,24.6931,35.7926,49.2011,73.6439
113,Z,3.02905,8.14265,11.0695,15.0638,23.2021
114,M,89.5403,171.176,265.119,366.894,454.832
114,Y,10.0606,24.6297,35.8039,49.229,73.9699
114,Z,3.01035,8.13388,11.0393,15.0779,23.018
115,M,89.5862,171.158,262.907,363.504,460.649
115,Y,10.0611,24.5756,35.7764,49.0581,74.4557
115,Z,2.99747,8.15287,10.9978,15.0626,22.9463
116,M,93.2276,164.843,263.616,376.654,448.784
116,Y,10.0895,24.4164,35.8122,48.8929,74.7568
116,Z,2.99227,8.1743,10.9539,15.1272,22.9733
117,M,91.1048,169.958,259.754,361.488,445.306
117,Y,10.0668,24.3841,35.7891,48.8066,74.7509
117,Z,2.99614,8.15741,10.9496,15.1828,22.9467
118,M,92.7944,165.562,260.779,364.04,451.175
118,Y,10.0859,24.2931,35.7139,48.7749,74.8481
118,Z,3.00698,8.09616,11.0016,15.2286,22.9734
119,M,94.3149,167.006,263.501,361.836,457.358
119,Y,10.127,24.25,35.6658,48.6188,75.2449
119,Z,3.03626,7.98123,11.0764,15.3428,22.9944
120,M,94.7834,166.506,260.551,370.652,452.122
120,Y,10.2263,24.1504,35.597,48.5878,75.3954
120,Z,3.06325,7.89104,11.0823,15.4232,23.0257
121,M,98.8051,170.555,268.696,382.187,446.51
121,Y,10.345,24.1267,35.8791,48.7161,75.2157
121,Z,3.10162,7.8342,11.1363,15.4442,22.9725
122,M,95.2246,176,266.126,371.868,454.059
122,Y,10.3572,24.2287,36.0832,48.5534,75.4008
122,Z,3.13244,7.77769,11.2028,15.4524,22.9455
123,M,94.7021,180,267.414,363.481,452.753
123,Y,10.3968,24.3274,36.2059,48.3749,75.625
123,Z,3.14773,7.73346,11.2065,15.4361,23.0256
124,M,93.3319,177.3,273.072,358.633,449.778
124,Y,10.4143,24.3359,36.2679,48.3323,75.8664
124,Z,3.15421,7.74895,11.2321,15.4398,23.1102
125,M,92.0987,175.77,280.865,362.37,448
125,Y,10.4334,24.2408,36.4855,48.2783,76.2384
125,Z,3.15711,7.72905,11.2357,15.4486,23.2126
126,M,90.9888,168.993,279.779,358.533,444.6
126,Y,10.4511,24.0863,36.5096,48.3071,76.4796
126,Z,3.15727,7.71209,11.227,15.395,23.365
127,M,89.09,166.493,277.001,357.78,443.34
127,Y,10.4474,23.9737,36.3974,48.2775,76.6963
127,Z,3.16618,7.66212,11.2383,15.3431,23.4595
128,M,85.581,166.044,278.101,368.802,450.306
128,Y,10.3688,23.919,36.1797,48.4818,77.0937
128,Z,3.15908,7.65198,11.231,15.316,23.4576
129,M,95.0229,168.34,273.691,366.121,455.675
129,Y,10.4275,23.8913,35.9577,48.4347,77.7283
129,Z,3.16506,7.62342,11.2074,15.3061,23.4881
130,M,98.1206,170.406,282.322,375.409,447.908
130,Y,10.4954,23.8757,35.9891,48.5223,78.0342
130,Z,3.17797,7.60991,11.1923,15.2571,23.6127
131,M,96.4085,163.265,290.089,377.468,448.117
131,Y,10.5401,23.6826,36.0888,48.6914,78.5117
131,Z,3.20912,7.57865,11.1707,15.2474,23.6599
132,M,93.9677,168.539,288.08,372.122,452.805
132,Y,10.5152,23.6733,36.2611,48.8796,78.7207
132,Z,3.24637,7.57122,11.2592,15.2876,23.6035
133,M,97.1709,164.285,288.972,370.909,448.925
133,Y,10.4962,23.5629,36.3892,49.1703,78.7905
133,Z,3.25021,7.60323,11.3233,15.2366,23.6616
134,M,100.954,168.556,287.975,367.118,458.932
134,Y,10.4912,23.5727,36.5486,49.1308,79.1774
134,Z,3.26264,7.6342,11.3618,15.1806,23.7319
135,M,93.5584,163.401,287.078,361.007,459.839
135,Y,10.4294,23.4208,36.6978,48.9221,79.4719
135,Z,3.26812,7.63688,11.3812,15.1672,23.8077
136,M,93.2026,165.961,282.67,360.006,457.955
136,Y,10.3563,23.3233,36.923,48.6348,79.6915
136,Z,3.27411,7.60702,11.4495,15.1503,23.9244
137,M,96.4823,179.065,271.503,358.205,463.46
137,Y,10.3476,23.371,37.0077,48.3157,80.0226
137,Z,3.27966,7.55853,11.4571,15.1593,24.0001
138,M,101.234,177.358,265.953,352.985,458.514
138,Y,10.4452,23.3465,36.8639,48.15,80.1749
138,Z,3.27851,7.5232,11.4219,15.15,24.0681
139,M,103.711,180.322,265.457,352.786,454.962
139,Y,10.5512,23.4803,36.5797,48.0567,80.202
139,Z,3.25383,7.50605,11.3536,15.2141,24.1928
140,M,100.54,180.29,265.912,354.408,467.966
140,Y,10.5848,23.5642,36.3105,48.1268,80.7351
140,Z,3.27225,7.49735,11.2839,15.1993,24.3919
141,M,98.5857,176.661,258.22,362.167,459.869
141,Y,10.5943,23.5735,36.0933,48.2079,80.9452
141,Z,3.29357,7.49244,11.2938,15.2268,24.4879
142,M,96.8271,177.895,264.798,355.65,465.183
142,Y,10.6093,23.5683,36.0123,48.1421,81.1271
142,Z,3.30759,7.43184,11.325,15.2799,24.6378
143,M,93.4444,173.605,262.619,346.185,467.264
143,Y,10.6217,23.4211,35.9637,47.8936,81.077
143,Z,3.2998,7.42892,11.3791,15.3389,24.7034
144,M,96.6999,177.845,265.157,357.467,466.438
144,Y,10.64,23.3191,35.9448,47.9791,81.1899
144,Z,3.2938,7.39429,11.4193,15.4302,24.7253
145,M,100.53,176.26,270.141,348.72,464.794
145,Y,10.6761,23.2552,36.1081,47.7361,81.2552
145,Z,3.29226,7.39737,11.4694,15.4178,24.8467
146,M,98.577,181.134,271.927,344.448,459.715
146,Y,10.6627,23.2809,36.2399,47.6164,81.2901
146,Z,3.27285,7.3497,11.5162,15.3523,24.9391
147,M,97.7193,180.121,268.134,349.603,455.143
147,Y,10.6296,23.3389,36.2846,47.5457,81.1278
147,Z,3.24992,7.31909,11.5868,15.2621,25.008
148,M,100.547,181.009,267.421,347.943,460.929
148,Y,10.6486,23.3746,36.2975,47.448,81.1996
148,Z,3.24719,7.33407,11.6134,15.162,25.1119
149,M,102.193,190.808,264.079,341.949,458.936
149,Y,10.671,23.7149,36.1823,47.3029,81.1412
149,Z,3.27782,7.32637,11.5683,15.11,25.1597
150,M,98.2733,189.727,260.171,341.954,456.242
150,Y,10.6199,24,36.0231,47.1537,81.2088
150,Z,3.31107,7.36838,11.4791,15.0807,25.1682
151,M,101.046,192.354,258.454,336.558,459.218
151,Y,10.6007,24.2735,35.8718,46.9936,81.2361
151,Z,3.32163,7.3947,11.3946,15.1027,25.3355
152,M,99.9414,194.719,263.208,344.303,460.996
152,Y,10.5993,24.592,35.8397,46.8415,81.2348
152,Z,3.32459,7.39762,11.3265,15.1282,25.4015
153,M,91.7473,193.247,282.788,346.772,458.097
153,Y,10.5241,24.8318,36.0834,46.8081,81.077
153,Z,3.32931,7.39597,11.301,15.1075,25.4585
154,M,98.7725,192.822,277.009,350.795,453.687
154,Y,10.5768,25.0274,36.1606,46.6553,80.9678
154,Z,3.3332,7.3498,11.2858,15.0295,25.4428
155,M,95.1953,194.24,274.508,357.116,445.218
155,Y,10.5974,25.1292,36.2525,46.5478,80.9057
155,Z,3.33896,7.31778,11.2798,15.0563,25.4783
156,M,91.0758,188.316,267.757,354.704,445.696
156,Y,10.5517,25.076,36.2104,46.6598,80.8772
156,Z,3.35026,7.29773,11.3311,14.9801,25.4987
157,M,86.4682,186.585,277.881,352.534,449.727
157,Y,10.4369,25.0383,36.3148,46.7547,80.8226
157,Z,3.34607,7.30579,11.3725,14.9425,25.5097
158,M,87.7214,186.826,277.093,349.68,447.054
158,Y,10.3308,25.0579,36.456,46.7977,80.732
158,Z,3.33567,7.324,11.3865,14.9204,25.4588
159,M,88.8492,190.643,287.184,348.012,447.349
159,Y,10.2766,25.1404,36.6381,46.9777,80.307
159,Z,3.34165,7.33518,11.3905,14.8897,25.4813
160,M,90.7643,185.079,278.266,344.711,443.114
160,Y,10.2744,25.1158,36.5491,47.0488,79.9384
160,Z,3.34868,7.44197,11.3544,14.8442,25.463
161,M,96.9879,188.171,281.939,339.04,459.102
161,Y,10.3173,25.1883,36.518,46.9204,79.8467
161,Z,3.33263,7.53145,11.3044,14.7973,25.4842
162,M,93.5891,188.254,278.045,338.436,457.292
162,Y,10.3478,25.2895,36.3183,46.7516,79.6517
162,Z,3.3266,7.61727,11.257,14.7471,25.4928
163,M,102.23,183.829,280.841,337.892,467.363
163,Y,10.4486,25.3069,36.3376,46.51,79.8105
163,Z,3.32617,7.71724,11.2469,14.6994,25.4923
164,M,100.107,176.246,274.357,332.903,462.927
164,Y,10.4677,25.1469,36.3401,46.2615,80.0633
164,Z,3.30258,7.79247,11.3234,14.6889,25.4428
165,M,102.696,175.721,277.521,341.913,462.534
165,Y,10.5013,25.0354,36.3926,46.121,80.3391
165,Z,3.31911,7.85387,11.3476,14.6409,25.4086
166,M,96.0268,169.849,280.369,344.621,448.681
166,Y,10.4813,24.8257,36.384,46.2343,80.1166
166,Z,3.32558,7.88581,11.3764,14.6072,25.3891
167,M,90.0241,170.864,277.532,344.359,442.513
167,Y,10.4111,24.6311,36.356,46.4012,79.683
167,Z,3.31124,7.86912,11.3632,14.6423,25.3801
168,M,91.8217,169.078,280.379,346.823,438.761
168,Y,10.3762,24.3516,36.4945,46.5508,79.1776
